,corr
KN_release_speed_mean_5g_ratio,
PO_release_speed_mean_5g_ratio,
SI_release_speed_mean_5g_ratio,-0.03505111476142169
SL_release_speed_mean_5g_ratio,-0.029118475534538106
ST_release_speed_mean_5g_ratio,-0.03569005402054631
SV_release_speed_mean_5g_ratio,
CH_release_speed_min_5g_ratio,0.011131678149361678
CS_release_speed_min_5g_ratio,
CU_release_speed_min_5g_ratio,-0.03256555814889034
FA_release_speed_min_5g_ratio,
FC_release_speed_min_5g_ratio,-0.023410249970522483
FF_release_speed_min_5g_ratio,-0.004078413395458783
FS_release_speed_min_5g_ratio,-0.04591807182902189
KC_release_speed_min_5g_ratio,-0.06351747358623352
KN_release_speed_min_5g_ratio,
PO_release_speed_min_5g_ratio,
SI_release_speed_min_5g_ratio,-0.00072406269601882
SL_release_speed_min_5g_ratio,-0.01751809207025739
ST_release_speed_min_5g_ratio,0.01640990097591084
SV_release_speed_min_5g_ratio,
CH_release_speed_std_5g_ratio,-0.05645635150769379
CS_release_speed_std_5g_ratio,
CU_release_speed_std_5g_ratio,0.03181013221018007
FA_release_speed_std_5g_ratio,
FC_release_speed_std_5g_ratio,0.0022214349849228416
FF_release_speed_std_5g_ratio,0.006489281111277361
FS_release_speed_std_5g_ratio,0.037586900880857636
KC_release_speed_std_5g_ratio,0.0546607602382422
KN_release_speed_std_5g_ratio,
PO_release_speed_std_5g_ratio,
SI_release_speed_std_5g_ratio,-0.022579661171048718
SL_release_speed_std_5g_ratio,-0.02195479879930751
ST_release_speed_std_5g_ratio,-0.033466769826962665
SV_release_speed_std_5g_ratio,
CH_release_spin_rate_mean_5g_ratio,-0.02523070565046217
CS_release_spin_rate_mean_5g_ratio,
CU_release_spin_rate_mean_5g_ratio,0.005308056227158217
FA_release_spin_rate_mean_5g_ratio,
FC_release_spin_rate_mean_5g_ratio,-0.0006946757316146617
FF_release_spin_rate_mean_5g_ratio,0.007360416478422192
FS_release_spin_rate_mean_5g_ratio,0.05074300154798158
KC_release_spin_rate_mean_5g_ratio,0.06916493583658032
KN_release_spin_rate_mean_5g_ratio,
PO_release_spin_rate_mean_5g_ratio,
SI_release_spin_rate_mean_5g_ratio,-0.004864878506952222
SL_release_spin_rate_mean_5g_ratio,0.0100137840785754
ST_release_spin_rate_mean_5g_ratio,0.02170580693809958
SV_release_spin_rate_mean_5g_ratio,
CH_release_spin_rate_std_5g_ratio,-0.035785802895284026
CS_release_spin_rate_std_5g_ratio,
CU_release_spin_rate_std_5g_ratio,0.03131957261074032
FA_release_spin_rate_std_5g_ratio,
FC_release_spin_rate_std_5g_ratio,-0.026101267750492003
FF_release_spin_rate_std_5g_ratio,-0.003977897855030351
FS_release_spin_rate_std_5g_ratio,-0.014717338035863949
KC_release_spin_rate_std_5g_ratio,-0.024860612784486442
KN_release_spin_rate_std_5g_ratio,
PO_release_spin_rate_std_5g_ratio,
SI_release_spin_rate_std_5g_ratio,0.01843173984852249
SL_release_spin_rate_std_5g_ratio,-0.05521197301861604
ST_release_spin_rate_std_5g_ratio,-0.041551288738032655
SV_release_spin_rate_std_5g_ratio,
pitcher_lag1_5g_ratio,
CH_pfx_x_mean_lag1_5g_ratio,0.017090008982775393
CS_pfx_x_mean_lag1_5g_ratio,
CU_pfx_x_mean_lag1_5g_ratio,0.003549055917804694
FA_pfx_x_mean_lag1_5g_ratio,
FC_pfx_x_mean_lag1_5g_ratio,0.0071203246094104534
FF_pfx_x_mean_lag1_5g_ratio,0.04656318412359321
FS_pfx_x_mean_lag1_5g_ratio,-0.010097563924895291
KC_pfx_x_mean_lag1_5g_ratio,0.010080137159734878
KN_pfx_x_mean_lag1_5g_ratio,
PO_pfx_x_mean_lag1_5g_ratio,
SI_pfx_x_mean_lag1_5g_ratio,0.05018547094672378
SL_pfx_x_mean_lag1_5g_ratio,0.0017949531611898683
ST_pfx_x_mean_lag1_5g_ratio,-0.05774019366538619
SV_pfx_x_mean_lag1_5g_ratio,
CH_pfx_x_std_lag1_5g_ratio,0.0007549484935828339
CS_pfx_x_std_lag1_5g_ratio,
CU_pfx_x_std_lag1_5g_ratio,-0.0387800181439079
FA_pfx_x_std_lag1_5g_ratio,
FC_pfx_x_std_lag1_5g_ratio,-0.02044067134569825
FF_pfx_x_std_lag1_5g_ratio,0.021469388288678615
FS_pfx_x_std_lag1_5g_ratio,0.01876119823701981
KC_pfx_x_std_lag1_5g_ratio,0.006338667430918733
KN_pfx_x_std_lag1_5g_ratio,
PO_pfx_x_std_lag1_5g_ratio,
SI_pfx_x_std_lag1_5g_ratio,0.003829967214626304
SL_pfx_x_std_lag1_5g_ratio,0.0020204498868303497
ST_pfx_x_std_lag1_5g_ratio,0.018669785649002336
